id;created_at;updated_at;data_inicio;data_fim;perfil_id;tipo_capacidade_id
09898bf3-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;6ac04dbf-d773-11ec-a5bb-0050569c64a0
099301df-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;6ac9734f-d773-11ec-a5bb-0050569c64a0
099c147d-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;6ad2a187-d773-11ec-a5bb-0050569c64a0
09a5521c-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;6adbb1d1-d773-11ec-a5bb-0050569c64a0
09ae545d-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;6ae4998e-d773-11ec-a5bb-0050569c64a0
09b79950-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;f865f94c-d773-11ec-a5bb-0050569c64a0
09c0ce97-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;f870468a-d773-11ec-a5bb-0050569c64a0
09c9e4c5-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;f87ac6fb-d773-11ec-a5bb-0050569c64a0
09d38749-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;74051a4a-6e25-4aab-9abc-8872c6c1029a;f8842199-d773-11ec-a5bb-0050569c64a0
09dd2e8d-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;6ac04dbf-d773-11ec-a5bb-0050569c64a0
09e6e074-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;6ac9734f-d773-11ec-a5bb-0050569c64a0
09f03da8-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:38:59";"2022-05-19 10:38:59";"2022-05-19 10:38:59";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;6ad2a187-d773-11ec-a5bb-0050569c64a0
09f9a31c-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;6adbb1d1-d773-11ec-a5bb-0050569c64a0
0a0325da-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;6ae4998e-d773-11ec-a5bb-0050569c64a0
