"id","codigo_ibge","nome","tipo","uf","timezone"
"0556054c-33b9-454c-99ad-2fa819abbab7","2708105",Santana do Mundaú,MUNICIPIO,AL,-3
"0557e3f1-7800-4941-ac59-0461c30ef278","3143807",Munhoz,MUNICIPIO,MG,-3
"055b253e-c2b3-41f0-ae38-d86c74937ffc","1506351",Santa Bárbara do Pará,MUNICIPIO,PA,-3
"058378a9-ef99-4c0c-bdb9-78f9b85964df","3113404",Caratinga,MUNICIPIO,MG,-3
"058f0860-3237-48f1-a880-5fff6b6be355","2603702",Canhotinho,MUNICIPIO,PE,-3
"0592cfcf-c685-4f8a-8cd4-067b6766261c","2201507",Batalha,MUNICIPIO,PI,-3
"05be2cdd-e546-4d84-b5c2-28c69bf805f5","3110707",Cambuquira,MUNICIPIO,MG,-3
"05cc2e73-47f2-4e3e-aa86-8f056edc641f","2611309",Pombos,MUNICIPIO,PE,-3
"05d8194a-5f45-408f-8d2a-0c86663f8b61","4305871",Coronel Barros,MUNICIPIO,RS,-3
"0603308b-af77-432d-9ac8-a02bc23354e8","3120805",Cruzília,MUNICIPIO,MG,-3
"061ed687-590e-4da5-85d2-a8225f960ed7","4319372",São Pedro do Butiá,MUNICIPIO,RS,-3
"06214314-9f73-405b-bdf2-677ec27aa25d","4203402",Campo Belo do Sul,MUNICIPIO,SC,-3
"0622d3f3-0f08-41fc-a7c8-86e2b0142568","2614600",Tabira,MUNICIPIO,PE,-3
"062d7e2b-2ce3-45cf-95ef-36bb02598d08","4314498",Pinheirinho do Vale,MUNICIPIO,RS,-3
"063ff641-a573-4956-a00b-fe3756e7b6e2","3510153",Canitar,MUNICIPIO,SP,-3
"0642502a-c543-4e85-826d-3935f79235c7","3109253",Bugre,MUNICIPIO,MG,-3
"064ddaeb-ce77-49ea-ab0f-ea69fd151ad2","2517001",Umbuzeiro,MUNICIPIO,PB,-3
"0652f47a-7666-4b21-91c4-5b14f95dc3f6","3537156",Pedrinhas Paulista,MUNICIPIO,SP,-3
"065f864f-2ff5-43ef-9bea-08e1acb0c6dd","3533304",Nova Luzitânia,MUNICIPIO,SP,-3
"067b0e47-7822-4f4e-baee-d7ba44931a75","5002100",Bela Vista,MUNICIPIO,MS,-4
"068521e0-d7b3-4b93-8d89-76cddd0fbd7b","5104526",Ipiranga do Norte,MUNICIPIO,MT,-4
"0689858c-0939-4207-8415-766a99f3bb1f","3132602",Itamarati de Minas,MUNICIPIO,MG,-3
"0692cd43-f5e2-4819-936a-94153b90f5bf","2306009",Iracema,MUNICIPIO,CE,-3
"069f20e9-8bff-424c-bb89-c79a05763ea8","4205605",Galvão,MUNICIPIO,SC,-3
"06a731a4-a5fb-4509-b3b9-84fe32a9126d","4304614",Canudos do Vale,MUNICIPIO,RS,-3
"06a73a9c-8968-4d77-84d6-f3fa2d455ca3","3302809",Mendes,MUNICIPIO,RJ,-3
"06cfc926-7407-4a24-a93f-29159c7a22b1","2901304",Andaraí,MUNICIPIO,BA,-3
"06d0a9eb-0964-49d8-aa3e-6e3864809c6d","2616100",Verdejante,MUNICIPIO,PE,-3
"06d80c54-bf20-4331-a563-edf80284fbab","5102686",Campos de Júlio,MUNICIPIO,MT,-4
"06d97a03-e555-4273-bff7-ee3de4afb933","3130002",Ibituruna,MUNICIPIO,MG,-3
"06df519e-0c23-4bc2-b5cb-7d5d938e2c1f","4202701",Botuverá,MUNICIPIO,SC,-3
"0706ab33-19ad-44ba-b89e-cbdc83a080c0","1507979",Terra Santa,MUNICIPIO,PA,-3
"0708f839-00f7-4c3e-b2e0-6d34f5a88243","4307005",Erechim,MUNICIPIO,RS,-3
"070b120b-2faa-4022-9245-92cec6cc038d","5107297",São José do Povo,MUNICIPIO,MT,-4
